51 78
0 11 13
0 21 6
0 31 17
1 2 2
1 11 10
2 3 8
2 12 1
3 4 14
3 13 19
4 5 4
4 15 6
13 14 12
11 12 9
12 13 18
14 15 5
5 15 19
15 16 8
5 6 7
6 7 3
16 17 11
7 17 0
7 8 9
17 18 2
18 19 19
8 9 1
9 10 16
9 20 10
19 30 4
30 29 5
30 40 17
40 39 11
39 38 20
39 28 8
28 29 3
28 38 15
28 18 12
38 49 19
49 50 7
48 49 6
38 48 14
27 28 5
37 38 1
47 48 8
46 47 10
36 37 2
36 46 18
27 37 17
26 27 11
26 36 5
26 25 14
25 36 19
35 36 4
35 45 9
45 46 15
16 26 6
15 25 2
14 24 18
24 34 0
23 24 19
34 35 7
24 25 3
34 44 20
33 44 1
33 43 13
33 34 5
43 44 4
44 45 8
31 41 6
41 42 10
42 43 2
32 43 9
22 32 4
21 22 1
12 22 7
22 23 5
13 23 12
32 33 11
31 32 16
4
0 1 24 36
